Id,Name,Link,DefaultPrice,PriceWithCard,ProductRating,CountOfComments,CountOfQuestions,Article,Type,PartNumber,Color,Country,Transport,TypeOfControl,Scale,ActionRadius,Peculiarities
0,"Комплект усиленных амортизаторов (2шт. перед + 2шт. зад) для моделей 1/10, 1/8",https://www.ozon.ru/product/komplekt-usilennyh-amortizatorov-2sht-pered-2sht-zad-dlya-modeley-1-10-1-8-1486172218/?asb=Dfs3d1b7ThDdWmGPS7owqHcprGmrVc0GnydiaT1uu1k%253D&asb2=jGlwfZgUK5QCJzzOwjfvehFIqDOgYy1tvofl3qZeAj9YKgJ969KB1HJ7wFDOiDNUfx2O-ojGk9zzXr_sZM44iw&avtc=1&avte=4&avts=1734856515&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,2 109 ₽,1 986 ₽,4.8,100,26,1486172218,Запчасть для радиоуправляемых моделей,A195-X-Blue,Синий,,,,,,
1,"Амортизаторы с внутренней пружиной для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-s-vnutrenney-pruzhinoy-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-1130890601/?asb=U7gsJEDa%252Fw7lkI%252FSA15fs6K%252Bt%252F2lpvjClwAB8dCK8z0%253D&asb2=tKlqiuTztniLz9eMbGbZUfq29S6HWPlD9uyixIp-12shV9nv9Pcq-KDMlJzFrLXI27rI4Iya3vQKzUIXeVWzBg&avtc=1&avte=4&avts=1734856502&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,797 ₽,750 ₽,4.8,159,29,1130890601,Запчасть для радиоуправляемых моделей,A6955-TOP-Blue,"Синий, ",Россия,,,,,
2,"Амортизаторы с внутренней пружиной (4шт + масло) для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-s-vnutrenney-pruzhinoy-4sht-maslo-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-1731286188/?asb=a4fqYupYChxB%252FiTbWMuiHr%252B4BUPsJeCFuz%252BVIiJ2Zug%253D&asb2=YWwTac7TNf6eBlOSMuOiO6iZak7Pmttg5yl2-FhWDvbEMvSbtmLJ2-MVtSlp8PpchshgpsyfWoWMW5PhqZdiHg&avtc=1&avte=4&avts=1734856502&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 632 ₽,1 543 ₽,4.8,204,23,1731286188,Запчасть для радиоуправляемых моделей,A6955-TOP-4-Titan,"Серебристый, ",Россия,,,,,
3,Машинка радиоуправляемая,https://www.ozon.ru/product/mashinka-radioupravlyaemaya-1724584893/?asb=ExnInGahWCrUDcx2BB4CiI8q3whmmd0a81mnFTfgnZs%253D&asb2=MY5QnsLRSUNCfniEFJUD0slu6MPIql4uBPJxGHaVJBvzHEcsJcBByhHzoo5mqVYvnnJWXnVo0WDJqYxiGomr2A&avtc=1&avte=4&avts=1734856559&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,18 087 ₽,17 577 ₽,,,,1724584893,Машинка радиоуправляемая,,,,Масштабные модели,Пульт Д/У,1/16,150,
4,"Стойка амортизаторов передняя алюминиевая для Remo Hobby 1/8 (9emu, Dinosaurs, Evo-R)",https://www.ozon.ru/product/stoyka-amortizatorov-perednyaya-alyuminievaya-dlya-remo-hobby-1-8-9emu-dinosaurs-evo-r-979642336/?asb=UGGnpAjnm3cmjLadTJN7pe8tTSrVdveDbie7%252B1Iwmzs%253D&asb2=xZJBxJqT98FmLTbuzkuT4S4WyJGjQ129Kb9jmky1_EN-uzJnFItZ7ni_vHxVglPLub5M3S3t55YI8OkiNCRFhg&avtc=1&avte=4&avts=1734856505&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 320 ₽,1 243 ₽,4.8,11,1,979642336,Запчасть для радиоуправляемых моделей,A2023-Blue,Синий,,,,,,
5,"Радиоуправляемая машина монстр Remo Hobby Smax 4WD RH1631 Red, масштаб 1:16, 29 см, Красный / детская машинка на пульте управления",https://www.ozon.ru/product/radioupravlyaemaya-mashina-monstr-remo-hobby-smax-4wd-rh1631-red-masshtab-1-16-29-sm-1579979189/?asb=cyNoaPrkyQrDPuyjlNrfoXg13%252BJCubrwnNKxakbrIPo%253D&asb2=sOFs9z1cyYphgnTvkwepCeh5b2S0wXgY7lbTE9ObKt_jPwVMppsJt5iCh2pg9GvSJ2sGtsGjw7m33NuRD_-_Zw&avtc=1&avte=4&avts=1734856559&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,11 474 ₽,11 151 ₽,,,,1579979189,Машинка радиоуправляемая,,,,Масштабные модели,Пульт Д/У,1/16,,Световые эффекты
6,Стойка крепления передних амортизаторов для багги 1/8,https://www.ozon.ru/product/stoyka-krepleniya-perednih-amortizatorov-dlya-baggi-1-8-1222258396/?asb=ZTDwRbEM1Uztg0fA%252FnV6OFXnveKMkxHtE1mfHsdRYNc%253D&asb2=P2qFX4g82QApZIOWisNtQPYpZ6frZRoetiqsnbn3SwKwShce3dmKeah_6xxLwVq7ZWi9Nk2NyJd-81NhIVlWnw&avtc=1&avte=4&avts=1734856546&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,686 ₽,639 ₽,,,,1222258396,Запчасть для радиоуправляемых моделей,,,,,,,,
7,"Усиленные алюминиевые амортизаторы задние для моделей 1/10, 1/8",https://www.ozon.ru/product/usilennye-alyuminievye-amortizatory-zadnie-dlya-modeley-1-10-1-8-880532900/?asb=qwvjnQPX%252BAKIs%252F1lwc0RfNNL46aJBfj98FgQWw4FR8E%253D&asb2=8lPYhz9z_mfuFM-bIWFSVNB6tkae_Lj1utZg6FhDVWjGEGUyhKmeBfWgXgZ0jfrany6rvuBqOzcIUwI1M5KopQ&avtc=1&avte=4&avts=1734856515&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 133 ₽,1 067 ₽,4.8,100,26,880532900,Запчасть для радиоуправляемых моделей,A1952-X-Blue,"Синий, ",,,,,,
8,"Амортизаторы алюминиевые титановые для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-alyuminievye-titanovye-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-880533456/?asb=0hYP6LgEORauIp9bCnoI8siBcLXPb5z1F1bNWh9c5Ts%253D&asb2=-EX4YFtoLEIZ8XAGWGH5SBXNNOVJknynQIyS7ZqnmjtduIlwq2iCRhIR1ZiMcjOCFyxXlkWZ4ctmpgeU3Zm7OQ&avtc=1&avte=4&avts=1734856499&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,763 ₽,719 ₽,4.8,159,29,880533456,Запчасть для радиоуправляемых моделей,A6955-Titan,Серебристый,,,,,,
9,"Амортизаторы с внутренней пружиной для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-s-vnutrenney-pruzhinoy-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-1130880897/?asb=ifHWB77rKmQRAewyTgdifO2nZcpTaWRNXgkbeduerwQ%253D&asb2=MWxNDX7nF76Qpu33M-7WWnhblxJpPgAi6Kp8YA4pmR0rj5v_WAVcvchvMZz7L1ho1xW_Ypu3lV9URota7JxIdg&avtc=1&avte=4&avts=1734856502&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,812 ₽,768 ₽,4.8,204,23,1130880897,Запчасть для радиоуправляемых моделей,A6955-TOP-Red,"Красный, ",Россия,,,,,
